                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59507,                0.86631,                0.92505,                0.97723,                0.99132,                 0.9902,                0.91751,                0.38335,                0.71901,                0.83419,              0.0033327,              0.0033327,              0.0033327
                      2,                0.63856,                0.71982,                0.93384,                0.97239,                 0.9943,                0.98861,                0.92205,                0.37761,                0.63194,                0.84164,              0.0065341,              0.0065341,              0.0065341
                      3,                 0.6952,                0.75434,                0.95703,                0.98237,                0.99482,                0.99062,                 0.9275,                0.37101,                0.62453,                0.84273,              0.0096034,              0.0096034,              0.0096034
                      4,                0.67514,                0.73286,                0.95196,                0.98515,                0.99445,                0.99145,                0.93767,                0.33659,                0.57649,                0.83203,               0.009406,               0.009406,               0.009406
                      5,                0.61337,                0.67733,                0.93209,                0.98746,                0.99046,                0.99227,                0.94659,                0.31234,                0.57813,                0.82427,               0.009208,               0.009208,               0.009208
                      6,                0.58248,                0.64968,                0.92136,                0.98687,                 0.9926,                0.99244,                0.95059,                0.29591,                0.56942,                0.81798,                0.00901,                0.00901,                0.00901
                      7,                0.56076,                0.62729,                0.91465,                0.99207,                0.99298,                0.99293,                0.95429,                0.28357,                0.55739,                0.81385,               0.008812,               0.008812,               0.008812
                      8,                 0.5439,                0.61427,                0.90962,                0.99206,                0.99314,                0.99299,                0.95584,                0.27601,                0.54808,                0.81162,               0.008614,               0.008614,               0.008614
                      9,                0.53283,                0.60422,                0.90586,                0.99239,                0.99238,                0.99298,                0.95726,                0.27124,                0.54301,                0.81015,               0.008416,               0.008416,               0.008416
                     10,                 0.5225,                0.59408,                0.90201,                0.99277,                0.99279,                0.99303,                0.95839,                0.26795,                 0.5373,                  0.809,               0.008218,               0.008218,               0.008218
                     11,                0.51472,                0.58281,                0.90024,                0.99259,                0.99265,                0.99303,                0.95903,                0.26484,                0.53316,                0.80817,                0.00802,                0.00802,                0.00802
                     12,                0.50977,                0.57823,                0.89865,                0.99278,                 0.9926,                0.99305,                0.95952,                0.26268,                0.52734,                0.80748,               0.007822,               0.007822,               0.007822
                     13,                0.50296,                0.56986,                0.89746,                0.99295,                0.99256,                0.99308,                0.95993,                0.26075,                0.52444,                0.80701,               0.007624,               0.007624,               0.007624
                     14,                0.49688,                0.56461,                0.89566,                0.99304,                0.99223,                0.99314,                0.96042,                0.25921,                0.52209,                0.80658,               0.007426,               0.007426,               0.007426
                     15,                0.49431,                 0.5596,                0.89429,                0.99346,                0.99204,                0.99315,                0.96093,                0.25737,                0.52021,                0.80597,               0.007228,               0.007228,               0.007228
                     16,                0.48864,                0.55251,                0.89225,                0.99366,                0.99172,                0.99319,                0.96144,                0.25577,                0.51964,                0.80545,                0.00703,                0.00703,                0.00703
                     17,                0.48441,                0.54979,                0.89252,                0.99403,                0.99134,                0.99321,                 0.9618,                0.25429,                0.51827,                0.80505,               0.006832,               0.006832,               0.006832
                     18,                0.47802,                0.54463,                0.88942,                0.99433,                0.99072,                0.99325,                0.96206,                0.25297,                0.51716,                0.80458,               0.006634,               0.006634,               0.006634
                     19,                0.47524,                0.54117,                0.88868,                0.99437,                0.99026,                0.99326,                0.96234,                0.25163,                0.51681,                0.80413,               0.006436,               0.006436,               0.006436
                     20,                0.47052,                0.53581,                0.88771,                 0.9944,                 0.9902,                0.99325,                0.96264,                0.25035,                0.51644,                0.80367,               0.006238,               0.006238,               0.006238
                     21,                 0.4648,                0.53082,                0.88631,                0.99449,                0.98954,                0.99326,                0.96301,                0.24919,                0.51489,                0.80326,                0.00604,                0.00604,                0.00604
                     22,                0.46347,                0.52742,                0.88546,                0.99465,                0.98907,                 0.9933,                0.96337,                0.24801,                0.51403,                0.80283,               0.005842,               0.005842,               0.005842
                     23,                0.46077,                0.52084,                0.88368,                0.99472,                0.98858,                0.99336,                0.96376,                 0.2469,                0.51074,                0.80237,               0.005644,               0.005644,               0.005644
                     24,                0.45612,                0.51551,                 0.8837,                0.99476,                0.98806,                0.99334,                0.96403,                0.24566,                 0.5088,                0.80198,               0.005446,               0.005446,               0.005446
                     25,                0.45391,                0.51102,                0.88243,                0.99417,                0.98768,                0.99333,                 0.9642,                0.24451,                0.50635,                 0.8016,               0.005248,               0.005248,               0.005248
