                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    250,                      0,                      0,                      0,                      0,                      0,                      0,                  107.5,                      0,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                      0,                  261.2,                      0,                      0,                      0,                      0,                      0,                      0,                 84.062,                      0,             0.00014854,             0.00014854,             0.00014854
                      3,                      0,                 175.58,                      0,                      0,                      0,                      0,                      0,                      0,                 107.56,                      0,             0.00022876,             0.00022876,             0.00022876
                      4,                      0,                 109.87,                      0,                      0,                      0,                      0,                      0,                      0,                     64,                      0,             0.00030732,             0.00030732,             0.00030732
                      5,                      0,                 76.213,                      0,                      0,                      0,                      0,                      0,                      0,                 36.719,                      0,             0.00038424,             0.00038424,             0.00038424
                      6,                      0,                 52.883,                      0,                      0,                      0,                      0,                      0,                      0,                     88,                      0,              0.0004595,              0.0004595,              0.0004595
                      7,                      0,                   40.6,                      0,                      0,                      0,                      0,                      0,                      0,                   1146,                      0,             0.00053311,             0.00053311,             0.00053311
                      8,                      0,                 27.859,                      0,                      0,                      0,                      0,                      0,                      0,                   2898,                      0,             0.00060508,             0.00060508,             0.00060508
                      9,                      0,                 21.491,                      0,                      0,                      0,                      0,                      0,                      0,                   7896,                      0,             0.00067539,             0.00067539,             0.00067539
                     10,                      0,                 14.419,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,             0.00074405,             0.00074405,             0.00074405
                     11,                      0,                 10.136,                      0,                      0,                      0,                      0,                      0,                      0,                  29792,                      0,             0.00081106,             0.00081106,             0.00081106
                     12,                      0,                 8.0055,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00087642,             0.00087642,             0.00087642
                     13,                      0,                 7.1504,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00094013,             0.00094013,             0.00094013
                     14,                      0,                 5.1104,                      0,                      0,                      0,                      0,                      0,                      0,                  28768,                      0,              0.0010022,              0.0010022,              0.0010022
                     15,                      0,                  4.281,                      0,                      0,                      0,                      0,                      0,                      0,                   1027,                      0,              0.0010626,              0.0010626,              0.0010626
                     16,                      0,                 2.8948,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8008,                      0,              0.0011214,              0.0011214,              0.0011214
                     17,                      0,                 2.3102,                      0,                      0,                      0,                      0,                      0,                      0,                0.23132,                      0,              0.0011785,              0.0011785,              0.0011785
                     18,                      0,                 1.7553,                      0,                      0,                      0,                      0,                      0,                      0,                0.13953,                      0,              0.0012339,              0.0012339,              0.0012339
